PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,method_category,deep_learning_method
29309734,Methodologic Guide for Evaluating Clinical Performance and Effect of Artificial Intelligence Technology for Medical Diagnosis and Prediction,"Park SH, Han K.",Radiology. 2018 Mar;286(3):800-809. doi: 10.1148/radiol.2017171920. Epub 2018 Jan 8.,Park SH,Radiology,2018,2018/01/09,,,10.1148/radiol.2017171920,"The use of artificial intelligence in medicine is currently an issue of great interest, especially with regard to the diagnostic or predictive analysis of medical images. Adoption of an artificial intelligence tool in clinical practice requires careful confirmation of its clinical utility. Herein, the authors explain key methodology points involved in a clinical evaluation of artificial intelligence technology for use in medicine, especially high-dimensional or overparameterized diagnostic or predictive models in which artificial deep neural networks are used, mainly from the standpoints of clinical epidemiology and biostatistics. First, statistical methods for assessing the discrimination and calibration performances of a diagnostic or predictive model are summarized. Next, the effects of disease manifestation spectrum and disease prevalence on the performance results are explained, followed by a discussion of the difference between evaluating the performance with use of internal and external datasets, the importance of using an adequate external dataset obtained from a well-defined clinical cohort to avoid overestimating the clinical performance as a result of overfitting in high-dimensional or overparameterized classification model and spectrum bias, and the essentials for achieving a more robust clinical evaluation. Finally, the authors review the role of clinical trials and observational outcome studies for ultimate clinical verification of diagnostic or predictive artificial intelligence tools through patient outcomes, beyond performance metrics, and how to design such studies. © RSNA, 2018.",other,Not specified
29249251,[What's new in oncodermatology?],Lebbé C.,Ann Dermatol Venereol. 2017 Dec;144 Suppl 4:IVS40-IVS46. doi: 10.1016/S0151-9638(17)31064-5.,Lebbé C,Ann Dermatol Venereol,2017,2017/12/19,,,10.1016/S0151-9638(17)31064-5,"This 'What's new in oncodermatology?' addresses the developments in 2017 on the epidemiology and management of skin cancers. We observe a constant increase in carcinomas, risk factors for squamous cell carcinoma, especially in transplant recipients where skin cancer mortality is important. Among epidemiological developments in melanoma are increased mortality despite screening, occupational exposure to UV, second melanoma and higher risk after carcinoma. New classifications that should be considered are AJCC8 for melanoma and carcinoma. In a near future artificial intelligence could change skin cancer screening practices through deep learning. For the sentinel lymph node, there is no interest in systematic lymphadenectomy that does not improve survival. Radiation therapy is essential for the prognosis of Merkel's carcinoma, and Mohs' surgery can be of interest. In metastatic melanoma, results on immunotherapy and targeted treatments include duration, dose, combinations, and the study of resistance mechanisms. The great novelty is immunotherapy or targeted therapy as an adjuvant treatment, giving an improvement in survival without relapse.",other,Not specified
29179711,A systematic review of data mining and machine learning for air pollution epidemiology,"Bellinger C, Mohomed Jabbar MS, Zaïane O, Osornio-Vargas A.",BMC Public Health. 2017 Nov 28;17(1):907. doi: 10.1186/s12889-017-4914-3.,Bellinger C,BMC Public Health,2017,2017/11/29,PMC5704396,,10.1186/s12889-017-4914-3,"BACKGROUND: Data measuring airborne pollutants, public health and environmental factors are increasingly being stored and merged. These big datasets offer great potential, but also challenge traditional epidemiological methods. This has motivated the exploration of alternative methods to make predictions, find patterns and extract information. To this end, data mining and machine learning algorithms are increasingly being applied to air pollution epidemiology.
METHODS: We conducted a systematic literature review on the application of data mining and machine learning methods in air pollution epidemiology. We carried out our search process in PubMed, the MEDLINE database and Google Scholar. Research articles applying data mining and machine learning methods to air pollution epidemiology were queried and reviewed.
RESULTS: Our search queries resulted in 400 research articles. Our fine-grained analysis employed our inclusion/exclusion criteria to reduce the results to 47 articles, which we separate into three primary areas of interest: 1) source apportionment; 2) forecasting/prediction of air pollution/quality or exposure; and 3) generating hypotheses. Early applications had a preference for artificial neural networks. In more recent work, decision trees, support vector machines, k-means clustering and the APRIORI algorithm have been widely applied. Our survey shows that the majority of the research has been conducted in Europe, China and the USA, and that data mining is becoming an increasingly common tool in environmental health. For potential new directions, we have identified that deep learning and geo-spacial pattern mining are two burgeoning areas of data mining that have good potential for future applications in air pollution epidemiology.
CONCLUSIONS: We carried out a systematic review identifying the current trends, challenges and new directions to explore in the application of data mining methods to air pollution epidemiology. This work shows that data mining is increasingly being applied in air pollution epidemiology. The potential to support air pollution epidemiology continues to grow with advancements in data mining related to temporal and geo-spacial mining, and deep learning. This is further supported by new sensors and storage mediums that enable larger, better quality data. This suggests that many more fruitful applications can be expected in the future.",other,Not specified
29155996,Hierarchical attention networks for information extraction from cancer pathology reports,"Gao S, Young MT, Qiu JX, Yoon HJ, Christian JB, Fearn PA, Tourassi GD, Ramanthan A.",J Am Med Inform Assoc. 2018 Mar 1;25(3):321-330. doi: 10.1093/jamia/ocx131.,Gao S,J Am Med Inform Assoc,2018,2017/11/21,PMC7282502,,10.1093/jamia/ocx131,"OBJECTIVE: We explored how a deep learning (DL) approach based on hierarchical attention networks (HANs) can improve model performance for multiple information extraction tasks from unstructured cancer pathology reports compared to conventional methods that do not sufﬁciently capture syntactic and semantic contexts from free-text documents.
MATERIALS AND METHODS: Data for our analyses were obtained from 942 deidentiﬁed pathology reports collected by the National Cancer Institute Surveillance, Epidemiology, and End Results program. The HAN was implemented for 2 information extraction tasks: (1) primary site, matched to 12 International Classification of Diseases for Oncology topography codes (7 breast, 5 lung primary sites), and (2) histological grade classiﬁcation, matched to G1-G4. Model performance metrics were compared to conventional machine learning (ML) approaches including naive Bayes, logistic regression, support vector machine, random forest, and extreme gradient boosting, and other DL models, including a recurrent neural network (RNN), a recurrent neural network with attention (RNN w/A), and a convolutional neural network.
RESULTS: Our results demonstrate that for both information tasks, HAN performed signiﬁcantly better compared to the conventional ML and DL techniques. In particular, across the 2 tasks, the mean micro and macro F-scores for the HAN with pretraining were (0.852,0.708), compared to naive Bayes (0.518, 0.213), logistic regression (0.682, 0.453), support vector machine (0.634, 0.434), random forest (0.698, 0.508), extreme gradient boosting (0.696, 0.522), RNN (0.505, 0.301), RNN w/A (0.637, 0.471), and convolutional neural network (0.714, 0.460).
CONCLUSIONS: HAN-based DL models show promise in information abstraction tasks within unstructured clinical pathology reports.",other,Not specified
28927314,Survivability prediction of colon cancer patients using neural networks,"Al-Bahrani R, Agrawal A, Choudhary A.",Health Informatics J. 2019 Sep;25(3):878-891. doi: 10.1177/1460458217720395. Epub 2017 Sep 19.,Al-Bahrani R,Health Informatics J,2019,2017/09/21,,,10.1177/1460458217720395,"We utilize deep neural networks to develop prediction models for patient survival and conditional survival of colon cancer. Our models are trained and validated on data obtained from the Surveillance, Epidemiology, and End Results Program. We provide an online outcome calculator for 1, 2, and 5 years survival periods. We experimented with multiple neural network structures and found that a network with five hidden layers produces the best results for these data. Moreover, the online outcome calculator provides conditional survival of 1, 2, and 5 years after surviving the mentioned survival periods. In this article, we report an approximate 0.87 area under the receiver operating characteristic curve measurements, higher than the 0.85 reported by Stojadinovic et al.",other,Not specified
27453696,SimNest: Social Media Nested Epidemic Simulation via Online Semi-supervised Deep Learning,"Zhao L, Chen J, Chen F, Wang W, Lu CT, Ramakrishnan N.",Proc IEEE Int Conf Data Min. 2015 Nov;2015:639-648. doi: 10.1109/ICDM.2015.39.,Zhao L,Proc IEEE Int Conf Data Min,2015,2016/07/26,PMC4955527,NIHMS801198,10.1109/ICDM.2015.39,"Infectious disease epidemics such as influenza and Ebola pose a serious threat to global public health. It is crucial to characterize the disease and the evolution of the ongoing epidemic efficiently and accurately. Computational epidemiology can model the disease progress and underlying contact network, but suffers from the lack of real-time and fine-grained surveillance data. Social media, on the other hand, provides timely and detailed disease surveillance, but is insensible to the underlying contact network and disease model. This paper proposes a novel semi-supervised deep learning framework that integrates the strengths of computational epidemiology and social media mining techniques. Specifically, this framework learns the social media users' health states and intervention actions in real time, which are regularized by the underlying disease model and contact network. Conversely, the learned knowledge from social media can be fed into computational epidemic model to improve the efficiency and accuracy of disease diffusion modeling. We propose an online optimization algorithm to substantialize the above interactive learning process iteratively to achieve a consistent stage of the integration. The extensive experimental results demonstrated that our approach can effectively characterize the spatio-temporal disease diffusion, outperforming competing methods by a substantial margin on multiple metrics.",transformer/generative,Not specified
32381039,Generation and evaluation of synthetic patient data,"Goncalves A, Ray P, Soper B, Stevens J, Coyle L, Sales AP.",BMC Med Res Methodol. 2020 May 7;20(1):108. doi: 10.1186/s12874-020-00977-1.,Goncalves A,BMC Med Res Methodol,2020,2020/05/09,PMC7204018,,10.1186/s12874-020-00977-1,"BACKGROUND: Machine learning (ML) has made a significant impact in medicine and cancer research; however, its impact in these areas has been undeniably slower and more limited than in other application domains. A major reason for this has been the lack of availability of patient data to the broader ML research community, in large part due to patient privacy protection concerns. High-quality, realistic, synthetic datasets can be leveraged to accelerate methodological developments in medicine. By and large, medical data is high dimensional and often categorical. These characteristics pose multiple modeling challenges.
METHODS: In this paper, we evaluate three classes of synthetic data generation approaches; probabilistic models, classification-based imputation models, and generative adversarial neural networks. Metrics for evaluating the quality of the generated synthetic datasets are presented and discussed.
RESULTS: While the results and discussions are broadly applicable to medical data, for demonstration purposes we generate synthetic datasets for cancer based on the publicly available cancer registry data from the Surveillance Epidemiology and End Results (SEER) program. Specifically, our cohort consists of breast, respiratory, and non-solid cancer cases diagnosed between 2010 and 2015, which includes over 360,000 individual cases.
CONCLUSIONS: We discuss the trade-offs of the different methods and metrics, providing guidance on considerations for the generation and usage of medical synthetic data.",other,Not specified
38117843,Detecting nuance in conspiracy discourse: Advancing methods in infodemiology and communication science with machine learning and qualitative content coding,"Haupt MR, Chiu M, Chang J, Li Z, Cuomo R, Mackey TK.",PLoS One. 2023 Dec 20;18(12):e0295414. doi: 10.1371/journal.pone.0295414. eCollection 2023.,Haupt MR,PLoS One,2023,2023/12/20,PMC10732406,,10.1371/journal.pone.0295414,"The spread of misinformation and conspiracies has been an ongoing issue since the early stages of the internet era, resulting in the emergence of the field of infodemiology (i.e., information epidemiology), which investigates the transmission of health-related information. Due to the high volume of online misinformation in recent years, there is a need to continue advancing methodologies in order to effectively identify narratives and themes. While machine learning models can be used to detect misinformation and conspiracies, these models are limited in their generalizability to other datasets and misinformation phenomenon, and are often unable to detect implicit meanings in text that require contextual knowledge. To rapidly detect evolving conspiracist narratives within high volume online discourse while identifying nuanced themes requiring the comprehension of subtext, this study describes a hybrid methodology that combines natural language processing (i.e., topic modeling and sentiment analysis) with qualitative content coding approaches to characterize conspiracy discourse related to 5G wireless technology and COVID-19 on Twitter (currently known as 'X'). Discourse that focused on correcting 5G conspiracies was also analyzed for comparison. Sentiment analysis shows that conspiracy-related discourse was more likely to use language that was analytic, combative, past-oriented, referenced social status, and expressed negative emotions. Corrections discourse was more likely to use words reflecting cognitive processes, prosocial relations, health-related consequences, and future-oriented language. Inductive coding characterized conspiracist narratives related to global elites, anti-vax sentiment, medical authorities, religious figures, and false correlations between technology advancements and disease outbreaks. Further, the corrections discourse did not address many of the narratives prevalent in conspiracy conversations. This paper aims to further bridge the gap between computational and qualitative methodologies by demonstrating how both approaches can be used in tandem to emphasize the positive aspects of each methodology while minimizing their respective drawbacks.",text mining,Not specified
39403340,Machine learning-driven survival prediction in gestational trophoblastic neoplasms: a focus on PSTT and ETT prognosis,"Alshwayyat S, Haddadin Z, Alshwayyat M, Alshwayyat TA, Odat RM, Al-Kurdi MA, Kharmoum S.",Front Oncol. 2024 Sep 30;14:1457531. doi: 10.3389/fonc.2024.1457531. eCollection 2024.,Alshwayyat S,Front Oncol,2024,2024/10/15,PMC11471447,,10.3389/fonc.2024.1457531,"INTRODUCTION: The clinicopathological characteristics and prognosis of placental site trophoblastic tumor (PSTT) and epithelioid trophoblastic tumor (ETT) have not been well summarized. Consequently, we conducted the largest to date series of samples of both types and employed machine learning (ML) to assess treatment effectiveness and develop accurate prognostic models for patients with GTN. Gestational choriocarcinoma (GCC) was used as the control group to show the clinical features of PTSS and ETT.
METHODS: The Surveillance, Epidemiology, and End Results (SEER) database provided the data used for this study's analysis. To identify the prognostic variables, we conducted Cox regression analysis and constructed prognostic models using five ML algorithms to predict the 5-year survival. A validation method incorporating the area under the curve (AUC) of the receiver operating characteristic (ROC) curve was used to validate the accuracy and reliability of the ML models. We also investigated the role of multiple therapeutic options using the Kaplan-Meier survival analysis.
RESULTS: The study population comprised 725 patients. Among them, 139 patients had ETT, 107 had PSTT, and 479 had GCC. There were no significant differences in survival between the different tumor groups. Multivariate Cox regression analysis revealed that metastasis was a significant prognostic factor for GCC, while older age and radiotherapy were significant prognostic factors for PTSS and ETT. ML models revealed that the Gradient Boosting classifier accurately predicted the outcomes, followed by the random forest classifier, K-Nearest Neighbors, Logistic Regression, and multilayer perceptron models. The most significant contributing factors were tumor size, year of diagnosis, age, and race.
DISCUSSION: Our study provides a method for treatment and prognostic assessment of patients with GTN. The ML we developed can be used as a convenient individualized tool to facilitate clinical decision making.",other,Not specified
39363969,A clinical prediction model for distant metastases of pediatric neuroblastoma: an analysis based on the SEER database,"Yan Z, Wu Y, Chen Y, Xu J, Zhang X, Yin Q.",Front Pediatr. 2024 Sep 19;12:1417818. doi: 10.3389/fped.2024.1417818. eCollection 2024.,Yan Z,Front Pediatr,2024,2024/10/04,PMC11447546,,10.3389/fped.2024.1417818,"BACKGROUND: Patients with distant metastases from neuroblastoma (NB) usually have a poorer prognosis, and early diagnosis is essential to prevent distant metastases. The aim was to develop a machine-learning model for predicting the risk of distant metastasis in patients with neuroblastoma to aid clinical diagnosis and treatment decisions.
METHODS: We built a predictive model using data from the Surveillance, Epidemiology, and End Results (SEER) database from 2010 to 2018 on 1,542 patients with neuroblastoma. Seven machine-learning methods were employed to forecast the likelihood of neuroblastoma distant metastases. Univariate and multivariate logistic regression analyses were used to identify independent risk factors for building machine learning models. Secondly, the subject operating characteristic area under the curve (AUC), Precision-Recall (PR) curves, decision curve analysis (DCA), and calibration curves were used to assess model performance. To further explain the optimal model, the Shapley summation interpretation method (SHAP) was applied. Ultimately, the best model was used to create an online calculator that estimates the likelihood of neuroblastoma distant metastases.
RESULTS: The study included 1,542 patients with neuroblastoma, multifactorial logistic regression analysis showed that age, histology, tumor size, tumor grade, primary site, surgery, chemotherapy, and radiotherapy were independent risk factors for distant metastasis of neuroblastoma (P &lt; 0.05). Logistic regression (LR) was found to be the optimal algorithm among the seven constructed, with the highest AUC values of 0.835 and 0.850 in the training and validation sets, respectively. Finally, we used the logistic regression model to build a network calculator for distant metastasis of neuroblastoma.
CONCLUSION: The study developed and validated a machine learning model based on clinical and pathological information for predicting the risk of distant metastasis in patients with neuroblastoma, which may help physicians make clinical decisions.",other,Not specified
39334146,Predictive model of prognosis index for invasive micropapillary carcinoma of the breast based on machine learning: a SEER population-based study,"Jiang Z, Yu Y, Yu X, Huang M, Wang Q, Huang K, Song C.",BMC Med Inform Decis Mak. 2024 Sep 27;24(1):268. doi: 10.1186/s12911-024-02669-y.,Jiang Z,BMC Med Inform Decis Mak,2024,2024/09/28,PMC11428430,,10.1186/s12911-024-02669-y,"BACKGROUND: Invasive micropapillary carcinoma (IMPC) is a rare subtype of breast cancer. Its epidemiological features, treatment principles, and prognostic factors remain controversial.
OBJECTIVE: This study aimed to develop an improved machine learning-based model to predict the prognosis of patients with invasive micropapillary carcinoma.
METHODS: A total of 1123 patients diagnosed with IMPC after surgery between 1998 and 2019 were identified from the Surveillance, Epidemiology, and End Results (SEER) database for survival analysis. Univariate and multivariate analyses were performed to explore independent prognostic factors for the overall and disease-specific survival of patients with IMPC. Five machine learning algorithms were developed to predict the 5-year survival of these patients.
RESULTS: Cox regression analysis indicated that patients aged > 65 years had a significantly worse prognosis than those younger in age, while unmarried patients had a better prognosis than married patients. Patients diagnosed between 2001 and 2005 had a significant risk reduction of mortality compared with other periods. The XGBoost model outperformed the other models with a precision of 0.818 and an area under the curve of 0.863.
CONCLUSIONS: A machine learning model for IMPC in patients with breast cancer was developed to estimate the 5-year OS. The XGBoost model had a promising performance and can help clinicians determine the early prognosis of patients with IMPC; therefore, the model can improve clinical outcomes by influencing management strategies and patient health care decisions.",other,Not specified
39313396,Prediction of Fatty Acid Intake from Serum Fatty Acid Levels Using Machine Learning Technique in Women Living in Toyama Prefecture,"Takeuchi H, Sakai S, Takahashi A, Ejiri M, Matsui M, Oota Y.",J Oleo Sci. 2024 Oct 1;73(10):1311-1318. doi: 10.5650/jos.ess24119. Epub 2024 Sep 20.,Takeuchi H,J Oleo Sci,2024,2024/09/23,,,10.5650/jos.ess24119,"Preventing lifestyle-related diseases requires understanding and managing the intake of total fats and specific types of fatty acids, especially trans fatty acids. There are several methods for measuring fat intake, each with its own strengths and limitations. Guidelines for nutritional epidemiology studies recommend employing objective biomarkers. This study aimed to estimate fatty acid intake based on serum fatty acid levels using multiple regression analysis and a machine learning technique, and to compare their accuracy. The subjects were healthy women aged 18 to 64 living in Toyama, Japan. A dietary survey to determine fatty acid intake was conducted using a 3-day dietary record completed by the participant. Blood samples were collected after an overnight fast, and serum was obtained through centrifugation. A total of 300 women participated in the study. The fatty acid levels in serum were determined using gas chromatography with a capillary column. Using multiple regression analysis and neural networks, the intakes of saturated, monounsaturated, n-6 polyunsaturated, n-3 polyunsaturated, and trans fatty acids from serum fatty acid levels were predicted. Significant correlations were observed between the intakes of the five classified fatty acids and the predicted intakes obtained from the multiple regression analysis (r = 0.39 - 0.49, p < 0.01). Significant correlations were also observed between the five classified fatty acid intakes and the intakes predicted by the neural network (r = 0.52 - 0.79, p < 0.01), and the correlation coefficient showed a significantly higher value than that predicted by the multiple regression analysis. These results suggest that serum fatty acid levels may be used as biomarkers to estimate the intake of fatty acids, including that of trans fatty acids, and that machine learning may be able to predict fatty acid intake with higher accuracy than multiple regression analysis.",other,Not specified
39283330,Use machine learning to predict pulmonary metastasis of esophageal cancer: a population-based study,"Fang Y, Wan J, Zeng Y.",J Cancer Res Clin Oncol. 2024 Sep 16;150(9):420. doi: 10.1007/s00432-024-05937-6.,Fang Y,J Cancer Res Clin Oncol,2024,2024/09/16,PMC11405433,,10.1007/s00432-024-05937-6,"BACKGROUND: This study aims to establish a predictive model for assessing the risk of esophageal cancer lung metastasis using machine learning techniques.
METHODS: Data on esophageal cancer patients from 2010 to 2020 were extracted from the surveillance, epidemiology, and end results (SEER) database. Through univariate and multivariate logistic regression analyses, eight indicators related to the risk of lung metastasis were selected. These indicators were incorporated into six machine learning classifiers to develop corresponding predictive models. The performance of these models was evaluated and compared using metrics such as The area under curve (AUC), accuracy, sensitivity, specificity, and F1 score.
RESULTS: A total of 20,249 confirmed cases of esophageal cancer were included in this study. Among them, 14,174 cases (70%) were assigned to the training set while 6075 cases (30%) constituted the internal test set. Primary site location, tumor histology, tumor grade classification system T staging criteria N staging criteria brain metastasis bone metastasis liver metastasis emerged as independent risk factors for esophageal cancer with lung metastasis. Amongst the six constructed models, the GBM algorithm-based machine learning model demonstrated superior performance during internal dataset validation. AUC, accuracy, sensitivity, and specificity values achieved by this model stood at respectively at 0.803, 0.849, 0.604, and 0.867.
CONCLUSION: We have developed an online calculator based on the GBM model ( https://lvgrkyxcgdvo7ugoyxyywe.streamlit.app/)to aid clinical decision-making and treatment planning.",other,Not specified
39282580,"Application of Survival Quilts for prognosis prediction of gastrectomy patients based on the Surveillance, Epidemiology, and End Results database and China National Cancer Center Gastric Cancer database","Zhao L, Niu P, Wang W, Han X, Luan X, Huang H, Zhang Y, Zhao D, Gao J, Chen Y.",J Natl Cancer Cent. 2024 Mar 12;4(2):142-152. doi: 10.1016/j.jncc.2024.01.007. eCollection 2024 Jun.,Zhao L,J Natl Cancer Cent,2024,2024/09/16,PMC11390701,,10.1016/j.jncc.2024.01.007,"OBJECTIVE: Accurate prognosis prediction is critical for individualized-therapy making of gastric cancer patients. We aimed to develop and test 6-month, 1-, 2-, 3-, 5-, and 10-year overall survival (OS) and cancer-specific survival (CSS) prediction models for gastric cancer patients following gastrectomy.
METHODS: We derived and tested Survival Quilts, a machine learning-based model, to develop 6-month, 1-, 2-, 3-, 5-, and 10-year OS and CSS prediction models. Gastrectomy patients in the development set (n = 20,583) and the internal validation set (n = 5,106) were recruited from the Surveillance, Epidemiology, and End Results (SEER) database, while those in the external validation set (n = 6,352) were recruited from the China National Cancer Center Gastric Cancer (NCCGC) database. Furthermore, we selected gastrectomy patients without neoadjuvant therapy as a subgroup to train and test the prognostic models in order to keep the accuracy of tumor-node-metastasis (TNM) stage. Prognostic performances of these OS and CSS models were assessed using the Concordance Index (C-index) and area under the curve (AUC) values.
RESULTS: The machine learning model had a consistently high accuracy in predicting 6-month, 1-, 2-, 3-, 5-, and 10-year OS in the SEER development set (C-index = 0.861, 0.832, 0.789, 0.766, 0.740, and 0.709; AUC = 0.784, 0.828, 0.840, 0.849, 0.869, and 0.902, respectively), SEER validation set (C-index = 0.782, 0.739, 0.712, 0.698, 0.681, and 0.660; AUC = 0.751, 0.772, 0.767, 0.762, 0.766, and 0.787, respectively), and NCCGC set (C-index = 0.691, 0.756, 0.751, 0.737, 0.722, and 0.701; AUC = 0.769, 0.788, 0.790, 0.790, 0.787, and 0.788, respectively). The model was able to predict 6-month, 1-, 2-, 3-, 5-, and 10-year CSS in the SEER development set (C-index = 0.879, 0.858, 0.820, 0.802, 0.784, and 0.774; AUC = 0.756, 0.827, 0.852, 0.863, 0.874, and 0.884, respectively) and SEER validation set (C-index = 0.790, 0.763, 0.741, 0.729, 0.718, and 0.708; AUC = 0.706, 0.758, 0.767, 0.766, 0.766, and 0.764, respectively). In multivariate analysis, the high-risk group with risk score output by 5-year OS model was proved to be a strong survival predictor both in the SEER development set (hazard ratio [HR] = 14.59, 95% confidence interval [CI]: 1.872-2.774, P &lt; 0.001), SEER validation set (HR = 2.28, 95% CI: 13.089-16.293, P &lt; 0.001), and NCCGC set (HR = 1.98, 95% CI: 1.617-2.437, P &lt; 0.001). We further explored the prognostic value of risk score resulted 5-year CSS model of gastrectomy patients, and found that high-risk group remained as an independent CSS factor in the SEER development set (HR = 12.81, 95% CI: 11.568-14.194, P &lt; 0.001) and SEER validation set (HR = 1.61, 95% CI: 1.338-1.935, P &lt; 0.001).
CONCLUSION: Survival Quilts could allow accurate prediction of 6-month, 1-, 2-, 3-, 5-, and 10-year OS and CSS in gastric cancer patients following gastrectomy.",other,Not specified
39278504,"Domestic radon exposure and childhood cancer risk by site and sex in 727 counties in the United States, 2001-2018","Bozigar M, Konstantinoudis G, Zilli Vieira CL, Li L, Alwadi Y, Jones RR, Koutrakis P.",Sci Total Environ. 2024 Sep 14;954:176288. doi: 10.1016/j.scitotenv.2024.176288. Online ahead of print.,Bozigar M,Sci Total Environ,2024,2024/09/15,,,10.1016/j.scitotenv.2024.176288,"BACKGROUND: Childhood cancer has few established risk factors and environmental influences are underexplored. This ecologic study investigated the association between domestic radon exposure and childhood cancer risk in a large sample of United States (U.S.) counties.
METHODS: Monthly ZIP code-level basement radon estimates from a geographic machine learning model were aggregated annually to counties, analyzed as continuous and dichotomized (cut point: 74 Bq/cubic meter (Bq/m3) or 2.0 picocuries/L (pCi/L)) versions, and lagged by one year. Annual county-level counts of sex- and site-specific (all, leukemia, brain and central nervous system [CNS], and other sites) incident cancer diagnoses among those 0-19 years from 2001 to 2018 were obtained from the National Cancer Institute's Surveillance, Epidemiology, and End Results Program database. Sex- and site-specific counts were modeled as zero-inflated Poisson distributions in a Bayesian spatiotemporal framework and sequentially adjusted for random and fixed confounder effects.
RESULTS: In 727 counties across 14 states, the average population aged 0-19 years was 41,599 people at baseline. Results from fully adjusted spatiotemporal statistical models indicated 1.05 (95% credible interval, CrI: 1.00, 1.09) times higher relative risks (RRs) of leukemia among both sexes and a RR of 1.06 (95%CrI: 1.00, 1.12) in males from a 50 Bq/m3 (1.35 pCi/L) increase in radon concentration the year prior. For radon exposures ≥74 Bq/m3 (2.00 pCi/L) the year prior, RRs were 1.08 (95%CrI: 1.02, 1.15) for both sexes and 1.12 (95%CrI: 1.04, 1.22) for females. No associations were found with other cancer sites or sexes from prior year radon exposures.
CONCLUSIONS: County-level childhood leukemia risk in both sexes were associated with average radon levels below U.S. Environmental Protection Agency guidelines recommending mitigation (148 Bq/m3 or 4.00 pCi/L). These findings warrant further investigation using population-based and individual-level study designs.",other,Not specified
39262027,The effects of applying artificial intelligence to triage in the emergency department: A systematic review of prospective studies,"Yi N, Baik D, Baek G.",J Nurs Scholarsh. 2024 Sep 11. doi: 10.1111/jnu.13024. Online ahead of print.,Yi N,J Nurs Scholarsh,2024,2024/09/12,,,10.1111/jnu.13024,"INTRODUCTION: Accurate and rapid triage can reduce undertriage and overtriage, which may improve emergency department flow. This study aimed to identify the effects of a prospective study applying artificial intelligence-based triage in the clinical field.
DESIGN: Systematic review of prospective studies.
METHODS: CINAHL, Cochrane, Embase, PubMed, ProQuest, KISS, and RISS were searched from March 9 to April 18, 2023. All the data were screened independently by three researchers. The review included prospective studies that measured outcomes related to AI-based triage. Three researchers extracted data and independently assessed the study's quality using the Strengthening the Reporting of Observational Studies in Epidemiology (STROBE) protocol.
RESULTS: Of 1633 studies, seven met the inclusion criteria for this review. Most studies applied machine learning to triage, and only one was based on fuzzy logic. All studies, except one, utilized a five-level triage classification system. Regarding model performance, the feed-forward neural network achieved a precision of 33% in the level 1 classification, whereas the fuzzy clip model achieved a specificity and sensitivity of 99%. The accuracy of the model's triage prediction ranged from 80.5% to 99.1%. Other outcomes included time reduction, overtriage and undertriage checks, mistriage factors, and patient care and prognosis outcomes.
CONCLUSION: Triage nurses in the emergency department can use artificial intelligence as a supportive means for triage. Ultimately, we hope to be a resource that can reduce undertriage and positively affect patient health.
PROTOCOL REGISTRATION: We have registered our review in PROSPERO (registration number: CRD 42023415232).",other,Not specified
39241092,Backtracking: Improved methods for identifying the source of a deliberate release of Bacillus anthracis from the temporal and spatial distribution of cases,"Shingleton J, Mustard D, Dyke S, Williams H, Bennett E, Finnie T.",PLoS Comput Biol. 2024 Sep 6;20(9):e1010817. doi: 10.1371/journal.pcbi.1010817. eCollection 2024 Sep.,Shingleton J,PLoS Comput Biol,2024,2024/09/06,PMC11419379,,10.1371/journal.pcbi.1010817,"Reverse epidemiology is a mathematical modelling tool used to ascertain information about the source of a pathogen, given the spatial and temporal distribution of cases, hospitalisations and deaths. In the context of a deliberately released pathogen, such as Bacillus anthracis (the disease-causing organism of anthrax), this can allow responders to quickly identify the location and timing of the release, as well as other factors such as the strength of the release, and the realized wind speed and direction at release. These estimates can then be used to parameterise a predictive mechanistic model, allowing for estimation of the potential scale of the release, and to optimise the distribution of prophylaxis. In this paper we present two novel approaches to reverse epidemiology, and demonstrate their utility in responding to a simulated deliberate release of B. anthracis in ten locations in the UK and compare these to the standard grid-search approach. The two methods-a modified MCMC and a Recurrent Convolutional Neural Network-are able to identify the source location and timing of the release with significantly better accuracy compared to the grid-search approach. Further, the neural network method is able to do inference on new data significantly quicker than either the grid-search or novel MCMC methods, allowing for rapid deployment in time-sensitive outbreaks.",other,Not specified
